Precio;Direccion;Superficie;Dormitorios;Baños;Link;Comuna;Valor UF;Valor Pesos
"Desde
UF 2.863";José Pedro Alessandri 1363, Ñuñoa;34 - 68 m² útiles ; 1 - 3 dormitorios  ; 1 - 2 baños;https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/9123-edificio-terra-nunoa-nva#position=29&type=item&tracking_id=149e246a-34b4-4f90-8727-b2c9224fd34a;Ñuñoa, RM (Metropolitana);UF 2.863;3
"Desde
UF 2.867";Zañartu 1905, Ñuñoa;36 - 75 m² útiles ; 1 - 3 dormitorios  ; 1 - 2 baños;https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/9344-252-marathon-nva#position=7&type=item&tracking_id=149e246a-34b4-4f90-8727-b2c9224fd34a;Ñuñoa, RM (Metropolitana);UF 2.867;7
"Desde
UF 2.892";Av. Rosas 1220, Santiago;32 - 60 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños;https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/8204-concepto-best-site-nva#position=35&type=item&tracking_id=faa10ebf-5b96-435e-b05d-218b29373a8f;Santiago, RM (Metropolitana);UF 2.892;2
"Desde
UF 2.899";Lord Cochrane 355, Santiago;32 - 59 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños;https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/8283-concepto-onetown-nva#position=33&type=item&tracking_id=faa10ebf-5b96-435e-b05d-218b29373a8f;Santiago, RM (Metropolitana);UF 2.899;9
"Desde
UF 2.900";Argomedo 321, Santiago;52 m² útiles ; 2 dormitorios  ; 2 baños;https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/6340-myplace-nva#position=44&type=item&tracking_id=faa10ebf-5b96-435e-b05d-218b29373a8f;Santiago, RM (Metropolitana);UF 2.900;0
UF 2.929;Oportuno, Almirante Latorre, Sazié, Sector República. Cercano Al Metro, Santiago;36 m² útiles ; 1 dormitorio ; 1 baño;https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5428252-oportuno-almirante-latorre-sazie-sector-republica-cercano-al-metro-uda#position=36&type=item&tracking_id=710b8e35-64c5-4445-90fe-500ed3a17690;Santiago, RM (Metropolitana);UF 2.929;9
"Desde
UF 2.945";Nelson 1825, Ñuñoa;31 - 52 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños;https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/9626-edificio-vintage-nva#position=36&type=item&tracking_id=69e2f639-8fa2-4031-a162-d8367205f002;Ñuñoa, RM (Metropolitana);UF 2.945;5
"Desde
UF 2.948";Rodrigo De Araya 3280, Ñuñoa;34 - 67 m² útiles ; 1 - 3 dormitorios  ; 1 - 2 baños;https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/9154-siena-rodrigo-de-araya-3280-nva#position=21&type=item&tracking_id=69e2f639-8fa2-4031-a162-d8367205f002;Ñuñoa, RM (Metropolitana);UF 2.948;8
"Desde
UF 2.995";Suárez Mujica 2877, Ñuñoa;32 - 60 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños;https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/8239-like-nva#position=22&type=item&tracking_id=149e246a-34b4-4f90-8727-b2c9224fd34a;Ñuñoa, RM (Metropolitana);UF 2.995;5
UF 20.000;Nicanor Plaza 2325, La Reina;290 m² útiles ; 6 dormitorios ; 5 baños;https://www.portalinmobiliario.com/venta/departamento/la-reina-metropolitana/2706366-nicanor-plaza-2325-uda#position=6&type=item&tracking_id=6a14b603-9d09-4c0f-85fd-40897ffbb217;La Reina, RM (Metropolitana);UF 20.000;0
"Desde
UF 21.090";Carlos Peña Otaegui 12.301, Las Condes;193 - 238 m² útiles ; 3 dormitorios  ; 3 - 4 baños;https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/6948-edificio-paseo-mirador-san-carlos-nva#position=22&type=item&tracking_id=699f36d6-95c4-4ee0-82df-62ba498e1f35;Las Condes, RM (Metropolitana);UF 21.090;0
"Desde
UF 21.460";Francisco Bulnes Correa 3640, Las Condes;203 m² útiles ; 4 dormitorios  ; 4 baños;https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5705-condominio-terralta-los-dominicos-las-condes-nva#position=47&type=item&tracking_id=699f36d6-95c4-4ee0-82df-62ba498e1f35;Las Condes, RM (Metropolitana);UF 21.460;0
"Desde
UF 22.500";Av. Francisco Bulnes Correa 3420, Las Condes;257 - 293 m² útiles ; 5 dormitorios  ; 5 baños;https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/6000-alto-dominicos-nva#position=42&type=item&tracking_id=699f36d6-95c4-4ee0-82df-62ba498e1f35;Las Condes, RM (Metropolitana);UF 22.500;0
"Desde
UF 28.704";Fray Luis De León 12.630, Las Condes;269 - 341 m² útiles ; 4 dormitorios  ; 4 baños;https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/9276-edificio-fray-leon-nva#position=4&type=item&tracking_id=3cb7652b-80d7-43c3-ad2e-76fb72fc267a;Las Condes, RM (Metropolitana);UF 28.704;4
"Desde
UF 3.019";Emilio Vaisse 760, Ñuñoa;35 - 59 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños;https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5918-eco-italia-nva#position=44&type=item&tracking_id=149e246a-34b4-4f90-8727-b2c9224fd34a;Ñuñoa, RM (Metropolitana);UF 3.019;9
"Desde
UF 3.037";Zañartu 1287, Ñuñoa;32 - 50 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños;https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/9148-copper-nva#position=28&type=item&tracking_id=69e2f639-8fa2-4031-a162-d8367205f002;Ñuñoa, RM (Metropolitana);UF 3.037;7
