;Precio;Direccion;Superficie;Dormitorios;Baños
50;"Desde
UF 2.550";General Mackenna 1531, Santiago;26 - 82 m² útiles ; 1 - 3 dormitorios  ; 1 - 2 baños
51;"Desde
UF 2.028";Santa Elvira 97, Santiago;19 - 35 m² útiles ; 1 dormitorio  ; 1 baño
52;"Desde
UF 2.815";Eleuterio Ramirez 1427, Santiago;33 - 57 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños
53;"Desde
UF 2.600";Gay 1971, Santiago;28 - 94 m² útiles ; 1 - 3 dormitorios  ; 1 - 2 baños
54;"Desde
UF 2.761";Lira 195, Santiago;22 - 34 m² útiles ; 1 dormitorio  ; 1 baño
55;"Desde
UF 2.483";Argomedo 380, Santiago;29 - 46 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños
56;"Desde
UF 2.855";Arturo Prat 565, Santiago;33 - 50 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños
57;"Desde
UF 2.530";Domeyko 2010, Santiago;24 - 87 m² útiles ; 1 - 3 dormitorios  ; 1 - 2 baños
58;"Desde
UF 2.306";San Pablo 1441, Santiago;21 - 52 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños
59;"Desde
UF 2.280";Fray Camilo Henríquez 660, Santiago;25 - 56 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños
60;"Desde
UF 2.417";Catedral 2143, Santiago;25 - 41 m² útiles ; 1 dormitorio  ; 1 - 2 baños
61;"Desde
UF 2.220";Santa Elena 922, Santiago;30 - 33 m² útiles ; 1 dormitorio  ; 1 baño
62;"Desde
UF 2.468";Rondizzoni 2020, Santiago;22 - 48 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños
63;"Desde
UF 2.390";Tocornal 636, Santiago;32 - 67 m² útiles ; 1 - 3 dormitorios  ; 1 - 2 baños
64;"Desde
UF 1.862";Santa Rosa Esq. Bío Bío, Santiago;26 - 61 m² útiles ; 1 - 3 dormitorios  ; 1 - 2 baños
65;"Desde
UF 2.599";General Mackenna 1520, Santiago;27 m² útiles ; 1 dormitorio  ; 1 baño
66;"Desde
UF 2.272";Arturo Prat 1942, Santiago;31 - 49 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños
67;"Desde
UF 2.336";Av. Brasil 601, Santiago;25 - 35 m² útiles ; 1 dormitorio  ; 1 baño
68;"Desde
UF 2.255";Arturo Prat 631, Santiago;24 - 46 m² útiles ; 1 - 2 dormitorios  ; 1 - 2 baños
69;"Desde
UF 3.915";General Mackenna 1531, Santiago;48 - 54 m² útiles ; 2 dormitorios  ; 2 baños
70;$ 51.000.000;Mario Kreutzberger 1520, Santiago, Chile, Santiago;36 m² útiles ; 1 dormitorio ; 1 baño
71;$ 53.000.000;San Pablo 1503, Santiago, Chile, Santiago;40 m² útiles ; 1 dormitorio ; 1 baño
72;$ 126.000.000;Avenida Manuel Rodriguez Norte 53, Santiago, Santiago Centro, Chile, Santiago;70 m² útiles ; 3 dormitorios ; 2 baños
73;UF 2.550;Mosqueto 552, Santiago, Chile, Santiago;40 m² útiles ; 1 dormitorio ; 1 baño
74;UF 2.350;Padre Orellana 1770, Santiago, Región Metropolitana, Chile, Santiago;40 m² útiles ; 1 dormitorio ; 1 baño
75;$ 220.000.000;Catedral - Garcia Reyes, Santiago;129 m² útiles ; 4 dormitorios ; 2 baños
76;$ 44.959.325;San Isidro 250, Santiago, Chile, Santiago;58 m² útiles ; 2 dormitorios ; 2 baños
77;UF 2.300;Depto. Metro Parque Ohiggins 2 Dormitorios 1 Baño Terraza 46 Mt2, Santiago, Santiago;44 m² útiles ; 2 dormitorios ; 1 baño
78;UF 2.620;Depto. 2 Dormitorios Estacionamiento Metro Parque Ohiggins 46 Mt2, Terraza, Santiago;44 m² útiles ; 2 dormitorios ; 1 baño
79;UF 4.190;Moneda / Tucapel Jiménez, Santiago;50 m² útiles ; 2 dormitorios ; 2 baños
80;UF 2.000;Eyzaguirre 766, Santiago, Chile, Santiago;36 m² útiles ; 2 dormitorios ; 1 baño
81;UF 1.595;Serrano 345, Santiago, Chile, Santiago;21 m² útiles ; 1 dormitorio ; 1 baño
82;$ 90.000.000;San Isidro 488, Santiago, Chile, Santiago;50 m² útiles ; 2 dormitorios ; 2 baños
83;UF 4.730;San Miguel: Metro San Miguel, Santiago;80 m² totales ; 3 dormitorios ; 2 baños
84;UF 3.490;San Miguel: Metro Lo Vial, Santiago;72 m² útiles ; 2 dormitorios ; 2 baños
85;UF 7.200;Full Remolado I Lastarria / U. Católica I 3d 3b I 1 Est, Santiago;110 m² útiles ; 3 dormitorios ; 3 baños
86;UF 8.300;Las Condes: Metro Escuela Millitar, Santiago;102 m² útiles ; 3 dormitorios ; 2 baños
87;UF 2.929;Oportuno, Almirante Latorre, Sazié, Sector República. Cercano Al Metro, Santiago;36 m² útiles ; 1 dormitorio ; 1 baño
88;UF 5.600;San Miguel: Metro Lo Vial, Santiago;112 m² útiles ; 4 dormitorios ; 3 baños
89;UF 2.650;Metro Santa Ana Vendo Depto 2d Piscina, Santiago;50 m² útiles ; 2 dormitorios ; 1 baño
90;$ 58.000.000;Plaza De Armas 960, Santiago;22 m² útiles ; 1 dormitorio ; 1 baño
91;$ 80.000.000;Lira - Metro - Santa Isabel, Santiago;52 m² útiles ; 2 dormitorios ; 2 baños
92;$ 6.000.000;Merced 691, Santiago, Región Metropolitana, Chile, Santiago;30 m² útiles ; 1 dormitorio ; 1 baño
93;$ 65.000.000;Profesor Carlos Porter, Santiago, Chile, Santiago;38 m² útiles ; 2 dormitorios ; 1 baño
94;UF 1.780;Matucana 1251, Santiago;33 m² útiles ; 1 dormitorio ; 1 baño
95;UF 2.230;Santo Domingo 755, Santiago, Chile, Santiago;36 m² útiles ; 1 dormitorio ; 1 baño
96;UF 2.510;Padre Alonso De Ovalle 840, Santiago, Chile, Santiago;38 m² útiles ; 1 dormitorio ; 1 baño
97;$ 78.000.000;Santo Domingo 1457, Santiago, Chile, Santiago;68 m² útiles ; 2 dormitorios ; 2 baños
98;UF 590;Avenida Santa Rosa 265 - Departamento 611, Santiago;32 m² útiles ; 1 dormitorio ; 1 baño
99;UF 690;San Isidro 45 - Departamento 1708, Santiago;33 m² útiles ; 1 dormitorio ; 1 baño
